year,turbine_size_kw,capital_cost_dollars_per_kw,fixed_om_dollars_per_kw_per_yr,variable_om_dollars_per_kwh,default_tower_height_m,cost_for_higher_towers_dollars_per_kw_per_m
2022,2.5,8291.660442,39.2599872,0,35,0
2022,5.0,8291.660442,39.2599872,0,35,0
2022,10.0,8291.660442,39.2599872,0,35,0
2022,20.0,8291.660442,39.2599872,0,35,0
2022,50.0,6225.908606,39.2599872,0,45,0
2022,100.0,6225.908606,39.2599872,0,45,0
2022,250.0,4042.362043,39.2599872,0,55,0
2022,500.0,4042.362043,39.2599872,0,55,0
2022,750.0,4042.362043,39.2599872,0,55,0
2022,1000.0,3217.841575,39.2599872,0,80,0
2022,1500.0,3217.841575,39.2599872,0,80,0
2023,2.5,8064.58054,39.1016808,0,35,0
2023,5.0,8064.58054,39.1016808,0,35,0
2023,10.0,8064.58054,39.1016808,0,35,0
2023,20.0,8064.58054,39.1016808,0,35,0
2023,50.0,6055.402502,39.1016808,0,45,0
2023,100.0,6055.402502,39.1016808,0,45,0
2023,250.0,3931.655727,39.1016808,0,55,0
2023,500.0,3931.655727,39.1016808,0,55,0
2023,750.0,3931.655727,39.1016808,0,55,0
2023,1000.0,3129.716023,39.1016808,0,80,0
2023,1500.0,3129.716023,39.1016808,0,80,0
2024,2.5,7188.695734,38.9433744,0,35,0
2024,5.0,7188.695734,38.9433744,0,35,0
2024,10.0,7188.695734,38.9433744,0,35,0
2024,20.0,7188.695734,38.9433744,0,35,0
2024,50.0,5397.87815,38.9433744,0,45,0
2024,100.0,5397.87815,38.9433744,0,45,0
2024,250.0,3557.687863,38.9433744,0,55,0
2024,500.0,3557.687863,38.9433744,0,55,0
2024,750.0,3557.687863,38.9433744,0,55,0
2024,1000.0,2706.240379,38.9433744,0,80,0
2024,1500.0,2706.240379,38.9433744,0,80,0
2025,2.5,6361.316924,38.785068,0,35,0
2025,5.0,6361.316924,38.785068,0,35,0
2025,10.0,6361.316924,38.785068,0,35,0
2025,20.0,6361.316924,38.785068,0,35,0
2025,50.0,4776.761302,38.785068,0,45,0
2025,100.0,4776.761302,38.785068,0,45,0
2025,250.0,3202.315831,38.785068,0,55,0
2025,500.0,3202.315831,38.785068,0,55,0
2025,750.0,3202.315831,38.785068,0,55,0
2025,1000.0,2309.547194,38.785068,0,80,0
2025,1500.0,2309.547194,38.785068,0,80,0
2026,2.5,5876.256959,38.6267616,0,35,0
2026,5.0,5876.256959,38.6267616,0,35,0
2026,10.0,5876.256959,38.6267616,0,35,0
2026,20.0,5876.256959,38.6267616,0,35,0
2026,50.0,4412.68627,38.6267616,0,45,0
2026,100.0,4412.68627,38.6267616,0,45,0
2026,250.0,3016.357507,38.6267616,0,55,0
2026,500.0,3016.357507,38.6267616,0,55,0
2026,750.0,3016.357507,38.6267616,0,55,0
2026,1000.0,2256.062443,38.6267616,0,80,0
2026,1500.0,2256.062443,38.6267616,0,80,0
2027,2.5,5391.196993,38.4684552,0,35,0
2027,5.0,5391.196993,38.4684552,0,35,0
2027,10.0,5391.196993,38.4684552,0,35,0
2027,20.0,5391.196993,38.4684552,0,35,0
2027,50.0,4048.611239,38.4684552,0,45,0
2027,100.0,4048.611239,38.4684552,0,45,0
2027,250.0,2830.399184,38.4684552,0,55,0
2027,500.0,2830.399184,38.4684552,0,55,0
2027,750.0,2830.399184,38.4684552,0,55,0
2027,1000.0,2202.577692,38.4684552,0,80,0
2027,1500.0,2202.577692,38.4684552,0,80,0
2028,2.5,4906.137028,38.3101488,0,35,0
2028,5.0,4906.137028,38.3101488,0,35,0
2028,10.0,4906.137028,38.3101488,0,35,0
2028,20.0,4906.137028,38.3101488,0,35,0
2028,50.0,3684.536207,38.3101488,0,45,0
2028,100.0,3684.536207,38.3101488,0,45,0
2028,250.0,2644.44086,38.3101488,0,55,0
2028,500.0,2644.44086,38.3101488,0,55,0
2028,750.0,2644.44086,38.3101488,0,55,0
2028,1000.0,2149.092942,38.3101488,0,80,0
2028,1500.0,2149.092942,38.3101488,0,80,0
2029,2.5,4421.077063,38.1518424,0,35,0
2029,5.0,4421.077063,38.1518424,0,35,0
2029,10.0,4421.077063,38.1518424,0,35,0
2029,20.0,4421.077063,38.1518424,0,35,0
2029,50.0,3320.461175,38.1518424,0,45,0
2029,100.0,3320.461175,38.1518424,0,45,0
