"year","pv_kw_per_sqft","pv_degradation_factor","sector_abbr"
2014,0.013935468999999999,0.005,res
2015,0.014709662,0.005,res
2016,0.015483855,0.005,res
2017,0.016258048,0.005,res
2018,0.01654837,0.005,res
2019,0.016838692,0.005,res
2020,0.017129015,0.005,res
2021,0.017419337,0.005,res
2022,0.017709659,0.005,res
2023,0.017999981,0.005,res
2024,0.018290304,0.005,res
2025,0.018580626,0.005,res
2026,0.018890303,0.005,res
2027,0.01919998,0.005,res
2028,0.019509657,0.005,res
2029,0.019819333999999997,0.005,res
2030,0.020129011000000002,0.005,res
2031,0.020438689,0.005,res
2032,0.020748366,0.005,res
2033,0.021058043,0.005,res
2034,0.02136772,0.005,res
2035,0.021677397,0.005,res
2036,0.021987074,0.005,res
2037,0.022296751,0.005,res
2038,0.022606427999999998,0.005,res
2039,0.022916105,0.005,res
2040,0.023225782,0.005,res
2041,0.023690298,0.005,res
2042,0.024154814,0.005,res
2043,0.024619329,0.005,res
2044,0.025083845,0.005,res
2045,0.025548361000000002,0.005,res
2046,0.026012876,0.005,res
2047,0.026477392000000002,0.005,res
2048,0.026941907999999997,0.005,res
2049,0.027406423,0.005,res
2050,0.027870938999999997,0.005,res
2014,0.013935468999999999,0.005,ind
2015,0.014709662,0.005,ind
2016,0.015483855,0.005,ind
2017,0.016258048,0.005,ind
2018,0.01654837,0.005,ind
2019,0.016838692,0.005,ind
2020,0.017129015,0.005,ind
2021,0.017419337,0.005,ind
2022,0.017709659,0.005,ind
2023,0.017999981,0.005,ind
2024,0.018290304,0.005,ind
2025,0.018580626,0.005,ind
2026,0.018890303,0.005,ind
2027,0.01919998,0.005,ind
2028,0.019509657,0.005,ind
2029,0.019819333999999997,0.005,ind
2030,0.020129011000000002,0.005,ind
2031,0.020438689,0.005,ind
2032,0.020748366,0.005,ind
2033,0.021058043,0.005,ind
2034,0.02136772,0.005,ind
2035,0.021677397,0.005,ind
2036,0.021987074,0.005,ind
2037,0.022296751,0.005,ind
2038,0.022606427999999998,0.005,ind
2039,0.022916105,0.005,ind
2040,0.023225782,0.005,ind
2041,0.023690298,0.005,ind
2042,0.024154814,0.005,ind
2043,0.024619329,0.005,ind
2044,0.025083845,0.005,ind
2045,0.025548361000000002,0.005,ind
2046,0.026012876,0.005,ind
2047,0.026477392000000002,0.005,ind
2048,0.026941907999999997,0.005,ind
2049,0.027406423,0.005,ind
2050,0.027870938999999997,0.005,ind
2014,0.013935468999999999,0.005,com
2015,0.014709662,0.005,com
2016,0.015483855,0.005,com
2017,0.016258048,0.005,com
2018,0.01654837,0.005,com
2019,0.016838692,0.005,com
2020,0.017129015,0.005,com
2021,0.017419337,0.005,com
2022,0.017709659,0.005,com
2023,0.017999981,0.005,com
2024,0.018290304,0.005,com
2025,0.018580626,0.005,com
2026,0.018890303,0.005,com
2027,0.01919998,0.005,com
2028,0.019509657,0.005,com
2029,0.019819333999999997,0.005,com
2030,0.020129011000000002,0.005,com
2031,0.020438689,0.005,com
2032,0.020748366,0.005,com
2033,0.021058043,0.005,com
2034,0.02136772,0.005,com
2035,0.021677397,0.005,com
2036,0.021987074,0.005,com
2037,0.022296751,0.005,com
2038,0.022606427999999998,0.005,com
2039,0.022916105,0.005,com
2040,0.023225782,0.005,com
2041,0.023690298,0.005,com
2042,0.024154814,0.005,com
2043,0.024619329,0.005,com
2044,0.025083845,0.005,com
2045,0.025548361000000002,0.005,com
2046,0.026012876,0.005,com
2047,0.026477392000000002,0.005,com
2048,0.026941907999999997,0.005,com
2049,0.027406423,0.005,com
2050,0.027870938999999997,0.005,com
